"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","93,996.5","102,421.3","102,770.8","91,695.8","1.35M","-8.23%"
"01/01/2025","102,424.2","93,557.3","109,228.6","89,664.8","2.72M","9.48%"
"12/01/2024","93,557.2","96,404.7","108,244.9","91,522.3","4.41M","-2.95%"
"11/01/2024","96,405.7","70,278.7","99,617.4","66,834.0","4.16M","37.17%"
"10/01/2024","70,281.8","63,329.9","73,569.4","59,075.7","2.56M","10.96%"
"09/01/2024","63,339.2","58,975.7","66,440.7","52,644.6","2.34M","7.39%"
"08/01/2024","58,978.6","64,625.7","65,587.9","49,486.9","2.56M","-8.74%"
"07/01/2024","64,626.0","62,768.8","70,000.2","53,883.4","2.06M","2.98%"
"06/01/2024","62,754.3","67,533.9","71,956.5","58,589.9","1.60M","-7.07%"
"05/01/2024","67,530.1","60,665.0","71,872.0","56,643.5","2.10M","11.31%"
"04/01/2024","60,666.6","71,329.3","72,710.8","59,228.7","2.66M","-14.95%"
"03/01/2024","71,332.0","61,157.3","73,740.9","60,138.2","2.70M","16.61%"
"02/01/2024","61,169.3","42,580.1","63,915.3","41,890.5","1.74M","43.66%"
"01/01/2024","42,580.5","42,272.5","48,923.7","38,546.9","2.03M","0.73%"
"12/01/2023","42,272.5","37,712.9","44,697.6","37,618.3","1.63M","12.09%"
"11/01/2023","37,712.9","34,648.3","38,400.8","34,124.2","1.48M","8.84%"
"10/01/2023","34,650.6","26,962.5","35,191.4","26,558.4","1.61M","28.51%"
"09/01/2023","26,962.7","25,938.3","27,480.7","24,923.1","1.15M","3.95%"
"08/01/2023","25,937.3","29,232.3","30,168.6","25,481.9","1.34M","-11.27%"
"07/01/2023","29,232.4","30,472.9","31,764.5","28,890.7","1.23M","-4.07%"
"06/01/2023","30,472.9","27,216.4","31,395.4","24,838.0","1.77M","11.97%"
"05/01/2023","27,216.1","29,252.1","29,816.4","25,853.1","1.66M","-6.96%"
"04/01/2023","29,252.1","28,473.7","30,964.9","27,054.3","2.03M","2.73%"
"03/01/2023","28,473.7","23,130.6","29,160.4","19,591.8","10.26M","23.10%"